Prev_MathAnx_score,Prev_hcp_h456e2_math,Prev_hcp_h456e2_word,points,easy_math_cnt,easy_word_cnt,easy_acc_math,easy_acc_word,easy_RT_math,easy_RT_word,hard_math_cnt,hard_word_cnt,hard_level_math,hard_level_word,hard_acc_math,hard_acc_word,hard_RT_math,hard_RT_word,hcp_h2e2_math,hcp_h3e2_math,hcp_h4e2_math,hcp_h5e2_math,hcp_h6e2_math,hcp_h456e2_math,hcp_h2e2_word,hcp_h3e2_word,hcp_h4e2_word,hcp_h5e2_word,hcp_h6e2_word,hcp_h456e2_word
3.44,0.55,0.48333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.68,0,0.58333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.16,0.15,0.91667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.44,0.11667,1,296,10,11,0.8,1,2811,2285,40,39,3.75,2.8205,0.75,0.66667,3585,2999,0.1,1,0.9,1,1,0.96667,0,1,0.9,1,1,0.96667
2.32,1,1,309,26,11,0.96154,1,2042,1703,24,39,3.2917,5.3846,0.625,0.71795,4041,3252,0,0.1,0.5,0.9,0.9,0.76667,0,1,0.9,1,1,0.96667
2.04,0.98333,0.98333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.32,0.26667,0.91667,293,18,8,1,0.875,2281,2584,32,42,3.25,2.6905,0.6875,0.64286,4411,2629,0.1,0.8,0.8,0.9,0.6,0.76667,0.4,1,1,1,0.8,0.93333
3.48,0.3,0.23333,295,22,24,1,0.83333,1922,2021,28,26,2.7857,2.9615,0.67857,0.65385,3003,2565,0,0.1,0.7,1,1,0.9,0,0.1,0.7,0.8,1,0.83333
1.08,0.53333,0.98333,306,34,10,0.97059,1,2100,1866,16,40,3.75,3.625,0.6875,0.675,3210,2109,0,0.1,0.2,0.6,0.7,0.5,0,1,1,1,1,1
2.8,0.13333,0.36667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.08,1,0.88333,323,17,17,0.88235,0.88235,3809,2046,33,33,6.8485,2.5455,0.93939,0.60606,3954,2125,0.3,0.4,0.8,1,0.8,0.86667,0.5,0.5,0.6,0.7,1,0.76667
1.44,0.75,0.83333,306,21,20,0.95238,0.95,2042,1888,29,30,3.3103,4.1333,0.68966,0.7,2353,2145,0,0.1,0.8,1,1,0.93333,0,0.2,0.8,1,1,0.93333
3.4,0.98333,1,142,24,21,0.33333,0.57143,1723,2025,26,29,2.0769,2.1379,0.30769,0.34483,1735,1854,0.6,0.6,0.4,0.4,0.6,0.46667,0.5,0.7,0.5,0.6,0.6,0.56667
1.72,0.9,0.016667,298,12,11,0.91667,1,1913,1964,38,39,5.0526,3.3846,0.71053,0.74359,3654,3155,0,0.8,1,1,1,1,0,0.9,1,1,1,1
1.76,0.25,0.56667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.04,0.25,0.63333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.56,1,0.98333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.36,0.96667,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.44,0.88333,0.98333,268,9,9,0.77778,0.66667,2568,2299,41,41,2.439,5.6829,0.65854,0.68293,3048,3792,0.2,1,1,0.9,1,0.96667,0.1,1,1,1,1,1
2.84,0.016667,0.88333,337,44,10,0.95455,1,2005,2055,6,40,3.3333,6.15,0.66667,0.75,3937,3884,0.1,0.1,0.1,0.2,0.1,0.13333,0.2,0.9,0.9,1,1,0.96667
3.4,0.96667,0.96667,301,15,12,1,0.91667,1705,1839,35,38,3,3.5526,0.68571,0.71053,3811,3346,0,0.7,0.8,1,1,0.93333,0,0.8,1,1,1,1
1,1,1,301,15,19,1,1,2310,1955,35,31,3.4286,4.129,0.71429,0.67742,4271,3297,0,0.5,1,1,1,1,0,0.1,1,1,1,1
1.68,0.86667,0.95,298,11,8,1,1,2085,1869,39,42,3.8718,5.2857,0.69231,0.71429,3902,3220,0.3,0.6,1,1,1,1,0.4,0.8,1,1,1,1
1.32,1,0.58333,297,28,28,0.96429,1,2010,1841,22,22,4,4.0909,0.54545,0.68182,3209,3145,0.1,0,0.2,0.9,1,0.7,0,0,0.2,1,1,0.73333
2.08,0.98333,0.98333,315,18,15,1,1,1803,1848,32,35,3.5938,4.2,0.6875,0.74286,3900,3525,0.1,0.4,0.8,1,0.9,0.9,0.1,0.4,1,1,1,1
